station_id,station_name,network_id,network_name,lat,lon,CityEng,StatesEng,CityNoAcc,StatesNoAcc
87,Primaria Melchor Ocampo,56,Tepeji,19.905555555556,-99.346944444444,Tepeji de Ocampo,Hidalgo,Tepeji de Ocampo,Hidalgo
86,Presidencia Municipal Tepetitlán,55,Tepetitlán,20.186361111111,-99.380361111111,,Hidalgo,,Hidalgo
137,Primaria Julián Gascón Mercado,71,Tepic,21.509805555556,-104.91018055556,Tepic,Nayarit,Tepic,Nayarit
138,SEMANAY,71,Tepic,21.509833333333,-104.896,Tepic,Nayarit,Tepic,Nayarit
136,Tecnológico de Tepic,71,Tepic,21.478177777778,-104.86774166667,Tepic,Nayarit,Tepic,Nayarit
404,Centro de Salud,35,Tijuana,-1.0,-1.0,,,,
48,COLEF,35,Tijuana,32.519444444444,-117.51944444444,,,,
405,Las Playas,35,Tijuana,-1.0,-1.0,,,,
45,Tecnológico,35,Tijuana,32.531008333333,-116.98602777778,Tijuana,Baja California,Tijuana,Baja California
376,Instituto Tecnológico de Tijuana ,35,Tijuana,32.530988888889,-116.98601111111,Tijuana,Baja California,Tijuana,Baja California
47,La Mesa,35,Tijuana,32.4975,-116.97694444444,Tijuana,Baja California,Tijuana,Baja California
378,La Mesa,35,Tijuana,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
375,Colegio de la Frontera,35,Tijuana,32.519666666667,-117.01161111111,Tijuana,Baja California,Tijuana,Baja California
46,Laboratorio,35,Tijuana,32.529461111111,-116.92128055556,Chilpancingo,Baja California,Chilpancingo,Baja California
377,Laboratorio,35,Tijuana,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
96,Biblioteca,60,Tizayuca,19.840583333333,-98.981333333333,Tizayuca,Hidalgo,Tizayuca,Hidalgo
220,Palacio de Gobierno,107,Tlaxcala,19.317583333333,-98.237305555556,Tlaxcala City,Tlaxcala,Tlaxcala City,Tlaxcala
88,Centro de Salud,57,Tlaxcoapan,20.186361111111,-99.228416666667,Mangas,Hidalgo,Mangas,Hidalgo
122,Aeropuerto,65,Toluca,19.334558333333,-99.573972222222,San Miguel Totoltepec,State of Mexico,San Miguel Totoltepec,State of Mexico
123,Ceboruco,65,Toluca,19.260305555556,-99.645722222222,Toluca,State of Mexico,Toluca,State of Mexico
124,Toluca Centro,65,Toluca,19.278083333333,-99.656416666667,Toluca,State of Mexico,Toluca,State of Mexico
125,Metepec,65,Toluca,19.270194444444,-99.595194444444,Metepec,State of Mexico,Metepec,State of Mexico
126,Oxtotitlán,65,Toluca,19.283444444444,-99.683488888889,Toluca,State of Mexico,Toluca,State of Mexico
127,San Cristobal,65,Toluca,19.327222222222,-99.634288888889,San Lorenzo Tepaltitlan,State of Mexico,San Lorenzo Tepaltitlan,State of Mexico
385,San Lorenzo Tepaltitlán ,65,Toluca,-1.0,-1.0,,,,
128,San Mateo Atenco,65,Toluca,19.280416666667,-99.541666666667,San Mateo Atenco,State of Mexico,San Mateo Atenco,State of Mexico
56,CONALEP,40,Torreón,25.522694444444,-103.39580555556,Torreón,Coahuila,Torreon,Coahuila
339,HECAT,40,Torreón,25.544416666667,-103.4295,Torreón,Coahuila,Torreon,Coahuila
230,Capellania,113,Torreón Municipal,-1.0,-1.0,,,,
226,Centro Cultural R. Mijares,113,Torreón Municipal,25.544722222222,-103.43022222222,Torreón,Coahuila,Torreon,Coahuila
227,DIF- Torreón,113,Torreón Municipal,25.535452222222,-103.45648166667,Torreón,Coahuila,Torreon,Coahuila
420,HECAT,113,Torreón Municipal,25.528907777778,-103.43148361111,Torreón,Coahuila,Torreon,Coahuila
340,Hospital Infantil,113,Torreón Municipal,25.544416666667,-103.4295,Torreón,Coahuila,Torreon,Coahuila
231,Parroquia,113,Torreón Municipal,-1.0,-1.0,,,,
233,Primaria,113,Torreón Municipal,-1.0,-1.0,,,,
228,Secundaria Gral. 2,113,Torreón Municipal,-1.0,-1.0,,,,
229,Secundaria Gral. 3,113,Torreón Municipal,-1.0,-1.0,,,,
232,Secundaria Técnica 83,113,Torreón Municipal,-1.0,-1.0,,,,
90,Centro de Salud,58,Tula,20.053777777778,-99.340055555556,Tula,Hidalgo,Tula,Hidalgo
89,Hospital Regional,58,Tula,20.04,-99.343611111111,Tula,Hidalgo,Tula,Hidalgo
309,Clínica de Salud,58,Tula,20.053777777778,-99.340083333333,Tula,Hidalgo,Tula,Hidalgo
91,Oficinas Tula,58,Tula,20.776611111111,-99.0,,Hidalgo,,Hidalgo
307,Tula,58,Tula,-1.0,-1.0,,,,
292,Tulancingo,121,Tulancingo,20.08525,-98.366638888889,Tulancingo de Bravo,Hidalgo,Tulancingo de Bravo,Hidalgo
52,DIF,37,Tuxtla Gutiérrez,16.756052777778,-93.080505555556,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutierrez,Chiapas
51,Delegación Terán,37,Tuxtla Gutiérrez,16.753611111111,-93.173888888889,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutierrez,Chiapas
398,Palacio Municipal,37,Tuxtla Gutiérrez,19.489583333333,-98.801083333333,San Nicolás Tlaminca,State of Mexico,San Nicolas Tlaminca,State of Mexico
50,Palacio Municipal,37,Tuxtla Gutiérrez,16.755277777778,-93.120833333333,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutierrez,Chiapas
240,Acolman,119,Valle de México,19.635555555556,-98.912222222222,Tepexpan,State of Mexico,Tepexpan,State of Mexico
242,Ajusco Medio,119,Valle de México,19.272222222222,-99.207777777778,Mexico City,Mexico City,Mexico City,Mexico City
241,Ajusco,119,Valle de México,19.154286111111,-99.162777777778,Parres El Guarda,Mexico City,Parres El Guarda,Mexico City
314,Aragón,119,Valle de México,19.47138,-99.074546111111,Mexico City,Mexico City,Mexico City,Mexico City
243,Atizapán,119,Valle de México,19.577222222222,-99.254166666667,Ciudad López Mateos,State of Mexico,Ciudad Lopez Mateos,State of Mexico
